precision,recall,f1,eps,B,d_max,l_start
0.6666666666666666,0.0,0.0,0.01,1,2,5
0.6666666666666666,0.0,0.0,0.01,1,1,4
0.6666666666666666,0.0,0.0,0.01,1,2,4
0.6666666666666666,0.0,0.0,0.01,1,1,5
0.5303030303030303,0.003979185797367615,0.007800780078007799,0.01,1,1,3
0.6666666666666666,0.0,0.0,0.01,1,3,5
0.6666666666666666,0.0,0.0,0.01,1,4,5
0.5303030303030303,0.003979185797367615,0.007800780078007799,0.01,1,2,3
0.5303030303030303,0.003979185797367615,0.007800780078007799,0.01,1,4,3
0.6666666666666666,0.0,0.0,0.01,1,3,4
0.6666666666666666,0.0,0.0,0.01,1,4,4
0.8452380952380952,0.009310986964618248,0.017699115044247787,0.01,1,1,2
0.6666666666666666,0.0,0.0,0.01,1,5,4
0.5303030303030303,0.003979185797367615,0.007800780078007799,0.01,1,3,3
0.5303030303030303,0.003979185797367615,0.007800780078007799,0.01,1,5,3
0.8452380952380952,0.009310986964618248,0.017699115044247787,0.01,1,2,2
0.8452380952380952,0.009310986964618248,0.017699115044247787,0.01,1,3,2
0.8217054263565892,0.006127450980392157,0.011788977306218687,0.01,1,5,2
0.8452380952380952,0.009310986964618248,0.017699115044247787,0.01,1,4,2
0.4229559748427673,0.3961464354527939,0.3231197771587744,0.01,1,2,1
0.42424242424242425,0.3830409356725146,0.3055555555555555,0.01,1,4,1
0.42424242424242425,0.3830409356725146,0.3055555555555555,0.01,1,3,1
0.4230769230769231,0.373015873015873,0.29095074455899195,0.01,1,5,1
0.4229559748427673,0.3961464354527939,0.3231197771587744,0.01,1,1,1
0.6666666666666666,0.0,0.0,0.01,1,5,5
0.6666666666666666,0.0,0.0,0.01,1,6,4
0.6666666666666666,0.0,0.0,0.01,1,6,5
0.5303030303030303,0.003979185797367615,0.007800780078007799,0.01,1,7,3
0.6666666666666666,0.0,0.0,0.01,1,7,5
0.6666666666666666,0.0,0.0,0.01,1,7,4
0.8217054263565892,0.006127450980392157,0.011788977306218687,0.01,1,6,2
0.6666666666666666,0.0,0.0,0.01,1,8,4
0.5303030303030303,0.003979185797367615,0.007800780078007799,0.01,1,6,3
0.5303030303030303,0.003979185797367615,0.007800780078007799,0.01,1,8,3
0.6666666666666666,0.0,0.0,0.01,1,8,5
